Serial Number,Year,Title,Abstract,Primary Class,Secondary Class,Top1_score,Top2_score,margin_12,Reasoning
1299,2021,INDUCTIVE CHARGING ARRANGEMENT FOR A VEHICLE BATTERY,"An inductive charging arrangement for a vehicle battery having a counter coil arrangement which comprises at least one primary coil arrangement located outside the vehicle and at least one secondary coil arrangement located inside the vehicle, wherein primary coil arrangement and secondary coil arrangement each comprise a coil and a magnetic core and, with appropriate positioning of the vehicle and energizing of the primary coil arrangement, electric energy is transmitted by inductive coupling from the primary coil arrangement to the secondary coil arrangement wherein the air gap is part of the transmission region and means are provided to minimize the air gap between the primary coil arrangement and the secondary coil arrangement.",40,24,0.036374159157276154,0.036305420100688934,6.873905658721924e-05,"Abstract-only zero-shot classification. Top-3 labels by score: 40 Application - Medical (Hyperthermia, Cancer, Drug Delivery) (0.036), 24 Modelling - ODE, Boundary value, Two-phase, Lifting force, Magneto-optical, Dipole, Strain Energy, Susceptibility etc. (0.036), 37 Experimentation - Other than evaluation indicated in class 14 above (0.036)"
1303,2020,DEVICE AND METHOD FOR THE SELECTIVE FRACTIONATION OF ULTRAFINE PARTICLES,An apparatus for a selective fractionation of ultrafine particles includes at least three separating columns fluidically connected in series by connecting lines. An infeed is arranged to feed into a connecting line which is arranged upstream of each separating column. Each connecting line comprises an inlet for a suspension of ultrafine particles to be separated and an inlet for at least one additional mobile phase. The inlets are alternately operated. A discharge branches off from a connecting line which is arranged downstream of each separating column. Each connecting line comprises an outlet for a first and a second discharge suspension of the ultrafine particles. The outlets are alternately operated. A control means provides a simultaneous switching of the through-flow switching position of the shutoff valves at the inlets and outlets. At least one magnetic field source for a magnetic field is arranged in each separating column.,40,24,0.036374159157276154,0.036305420100688934,6.873905658721924e-05,"Abstract-only zero-shot classification. Top-3 labels by score: 40 Application - Medical (Hyperthermia, Cancer, Drug Delivery) (0.036), 24 Modelling - ODE, Boundary value, Two-phase, Lifting force, Magneto-optical, Dipole, Strain Energy, Susceptibility etc. (0.036), 37 Experimentation - Other than evaluation indicated in class 14 above (0.036)"
558,2018,WEEPING FERROFLUID ANTI-ICE SYSTEM,"Method, system, and aircraft for providing anti-ice protection comprising a supply of ferrofluid that is flowed out of orifices along a first region of an aerodynamic surface. The flowed ferrofluid is urged toward an aperture on a second region. The aperture is arranged relative to a magnetic field generator. A magnetic field generated by the magnetic field generator attracts the ferrofluid into the aperture while water droplets carried by the ferrofluid continue past the aperture.",24,45,0.0353817380964756,0.035296570509672165,8.516758680343628e-05,"Abstract-only zero-shot classification. Top-3 labels by score: 24 Modelling - ODE, Boundary value, Two-phase, Lifting force, Magneto-optical, Dipole, Strain Energy, Susceptibility etc. (0.035), 45 Application - Flow (0.035), 26 Computation - Heat (0.035)"
559,2016,WEEPING FERROFLUID ANTI-ICE SYSTEM,"Method, system, and aircraft for providing anti-ice protection comprising a supply of ferrofluid that is flowed out of orifices along a first region of an aerodynamic surface. The flowed ferrofluid is urged toward an aperture on a second region. The aperture is arranged relative to a magnetic field generator. A magnetic field generated by the magnetic field generator attracts the ferrofluid into the aperture while water droplets carried by the ferrofluid continue past the aperture.",24,45,0.0353817380964756,0.035296570509672165,8.516758680343628e-05,"Abstract-only zero-shot classification. Top-3 labels by score: 24 Modelling - ODE, Boundary value, Two-phase, Lifting force, Magneto-optical, Dipole, Strain Energy, Susceptibility etc. (0.035), 45 Application - Flow (0.035), 26 Computation - Heat (0.035)"
564,2018,Devices having a volume-displacing ferrofluid piston,"A device for use in compressing or expanding a working fluid, such as a gas, includes a container, a piston, working fluid, ferrofluid, and at least one magnetic component. The piston includes a piston face. The piston face and the container define an interior cavity having a volume that varies in response to movement of the piston relative to the container. The working fluid and the ferrofluid are contained in the interior cavity. The at least one magnetic component has a magnetic field that exerts magnetic forces on the ferrofluid that stabilize the ferrofluid in a subset of the interior cavity. This displaces the working fluid within the interior cavity.",24,45,0.0353817380964756,0.035296570509672165,8.516758680343628e-05,"Abstract-only zero-shot classification. Top-3 labels by score: 24 Modelling - ODE, Boundary value, Two-phase, Lifting force, Magneto-optical, Dipole, Strain Energy, Susceptibility etc. (0.035), 45 Application - Flow (0.035), 26 Computation - Heat (0.035)"
565,2018,Weeping ferrofluid anti-ice system,"Method, system, and aircraft for providing anti-ice protection including a supply of ferrofluid that is flowed out of orifices along a first region of an aerodynamic surface, is provided. The flowed ferrofluid is urged toward an aperture on a second region. The aperture is arranged relative to a magnetic field generator. A magnetic field generated by the magnetic field generator attracts the ferrofluid into the aperture while water droplets carried by the ferrofluid continue past the aperture.",24,45,0.0353817380964756,0.035296570509672165,8.516758680343628e-05,"Abstract-only zero-shot classification. Top-3 labels by score: 24 Modelling - ODE, Boundary value, Two-phase, Lifting force, Magneto-optical, Dipole, Strain Energy, Susceptibility etc. (0.035), 45 Application - Flow (0.035), 26 Computation - Heat (0.035)"
1057,2024,ACOUSTIC RECEIVERS WITH MULTIPLE DIAPHRAGMS,"Sound-producing acoustic receivers are disclosed. The acoustic receiver includes a receiver housing with a first internal volume and a second internal volume, a first diaphragm separating the first internal volume into a first front volume and a first back volume such that the first front volume has a first sound outlet port, a second diaphragm separating the second internal volume into a second front volume and a second back volume such that the second front volume has a second sound outlet port, a motor disposed at least partially inside the housing such that the motor including an armature mechanically coupled to both the first diaphragm and the second diaphragm, an acoustic seal between the first front volume and the second back volume such that the acoustic seal accommodates the mechanical coupling of the armature to one of the first diaphragm or the second diaphragm.",24,49,0.05617617070674896,0.056080225855112076,9.59448516368866e-05,"Abstract-only zero-shot classification. Top-3 labels by score: 24 Modelling - ODE, Boundary value, Two-phase, Lifting force, Magneto-optical, Dipole, Strain Energy, Susceptibility etc. (0.056), 49 Application - Digital Micro Fluids, Damping, Physics, Environmental, Engineering, Instruments to evaluate FF (0.056), 37 Experimentation - Other than evaluation indicated in class 14 above (0.051)"
1086,2013,SUPER CONDUCTING SYNCHRONOUS MACHINE COMPRISING A ROTOR WHICH CAN ROTATE IN RELATION TO A STATOR AND WHICH HAS AT LEAST ONE SUPER CONDUCTING WINDING,"A super conducting synchronous machine including a rotor which may rotate in relation to a stator and which has at least one super-conducting winding which is cooled my means of a cooling machine is provided. The cooled areas of the rotor are surrounded at least partially by a vacuum chamber rotating with the rotor. A pump line connecting the vacuum chamber to a vacuum pump is provided in a connection area produced by means of at least two rotational seals, fixed in relation to a rotor and defining the vacuum chamber.",24,49,0.05617617070674896,0.056080225855112076,9.59448516368866e-05,"Abstract-only zero-shot classification. Top-3 labels by score: 24 Modelling - ODE, Boundary value, Two-phase, Lifting force, Magneto-optical, Dipole, Strain Energy, Susceptibility etc. (0.056), 49 Application - Digital Micro Fluids, Damping, Physics, Environmental, Engineering, Instruments to evaluate FF (0.056), 37 Experimentation - Other than evaluation indicated in class 14 above (0.051)"
463,2009,Magnetic Immunodiagnostic Method for the Demonstration of Antibody/Antigen Complexes especially of blood groups,"The invention relates to a magnetic immunodiagnostic method for the demonstration of antibody-antigen complexes. One such method involves the research and/or identification of antibodies or antigens, preferably anti-antigen antibodies or antigens of a blood group, and comprises a suspension of magnetic particles coated with antigens that can be carried by cells such as erythrocytes. The invention also relates to a device and a kit for carrying out one such method.",51,39,0.03828423470258713,0.038155391812324524,0.00012884289026260376,"Abstract-only zero-shot classification. Top-3 labels by score: 51 Book / Book - chapter (0.038), 39 Application - Medical Robotic Surgery (0.038), 41 Application - Medical (Pharmaceutical) (0.037)"
1147,2012,"LUMINESCENT ORGANIC/INORGANIC MATRIX, METHOD FOR THE PRODUCTION THEREOF AND LUMINESCENT MOLECULAR THERMOMETER BASED ON SAID MATRIX","Thermometer comprising an organic-inorganic matrix which comprises tris complex (β-diketonate) of two different cations of lanthanide elements. In addition, the invention also relates to the matrix, methods for preparing it and methods of using a thermometer to measure absolute temperatures.",51,39,0.03828423470258713,0.038155391812324524,0.00012884289026260376,"Abstract-only zero-shot classification. Top-3 labels by score: 51 Book / Book - chapter (0.038), 39 Application - Medical Robotic Surgery (0.038), 41 Application - Medical (Pharmaceutical) (0.037)"
426,2008,Optical Element,"An optical element comprises a fluid chamber and a device for providing a magnetic field over at least a portion of the fluid chamber The fluid chamber has side portions and end portions, and contains a first fluid and a second fluid. The fluids are non-miscible and the second fluid is capable of being influenced by a magnetic field. The end portions of the fluid chamber are connected together only by the side portions.",37,49,0.03535163775086403,0.03521361202001572,0.00013802573084831238,"Abstract-only zero-shot classification. Top-3 labels by score: 37 Experimentation - Other than evaluation indicated in class 14 above (0.035), 49 Application - Digital Micro Fluids, Damping, Physics, Environmental, Engineering, Instruments to evaluate FF (0.035), 40 Application - Medical (Hyperthermia, Cancer, Drug Delivery) (0.035)"
85,1988,Electric motor with ferrofluid bearing,"An electric motor including an integral ferrofluid bearing provides significant reduction in non-repeatable runout, stray flux, and audible noise over conventional motors using ball bearings. The motor includes a hub and a base, with the base attached to a tapered magnetically permeable shaft which defines an inner bearing race, and the hub attached to an internally tapered, magnetically permeable sleeve which defines an outer bearing race. Permanent magnets surround and are rotatable with the sleeve to provide mangetic fields which interact with the stator winding to cause rotation of the hub and sleeve. In addition, the permanent magnets form magnetic flux paths with the shaft and the sleeve to maintain ferrofluid lubricant between the inner and outer bearing races.",28,24,0.04631903022527695,0.04617621749639511,0.00014281272888183594,"Abstract-only zero-shot classification. Top-3 labels by score: 28 Computation - Stability and other (0.046), 24 Modelling - ODE, Boundary value, Two-phase, Lifting force, Magneto-optical, Dipole, Strain Energy, Susceptibility etc. (0.046), 22 Computation - CFD (0.045)"
1136,2019,Inertial haptic actuators having a cantilevered beam and a smart material,"A haptic actuator comprising a base and a haptic transducer at least partially suspended by the base. The haptic transducer comprises a substrate and a smart material operably connected to the substrate. The smart material has resonance in response to an electrical signal having a determined frequency, and the resonance causes the haptic transducer to vibrate and deliver a haptic effect.",29,28,0.034522224217653275,0.03437874838709831,0.00014347583055496216,"Abstract-only zero-shot classification. Top-3 labels by score: 29 Computation - Magnetic Droplets, Spin of droplet (0.035), 28 Computation - Stability and other (0.034), 22 Computation - CFD (0.034)"
1142,2012,THORACIC PORT WITH CHANGING ELASTICITY,"A surgical access assembly for positioning within an opening in a tissue to provide access to a patient's body for insertion of surgical instrumentation therethrough. The surgical access assembly includes a body portion defining a longitudinal axis and a passageway and having a proximal portion and a distal portion. At least a portion of the distal portion is configured to transition from a more flexible, first configuration for passage into a patient's body and a more rigid, second configuration to securely maintain the distal portion within the patient's body.",29,28,0.034522224217653275,0.03437874838709831,0.00014347583055496216,"Abstract-only zero-shot classification. Top-3 labels by score: 29 Computation - Magnetic Droplets, Spin of droplet (0.035), 28 Computation - Stability and other (0.034), 22 Computation - CFD (0.034)"
1150,2013,IMAGING AND SENSING OF SUBTERRANEAN RESERVOIRS,"Various embodiments include apparatus and methods of sensing and/or mapping a subterranean reservoir. In various embodiments, arrangements of electromagnetic sensors are disposed relative to a subterranean reservoir such that a signal received by electromagnetic sensors of one arrangement, in response to activation of an electromagnetic transmitter, can be analyzed to map the subterranean reservoir. Additional apparatus, systems, and methods are disclosed.",29,28,0.034522224217653275,0.03437874838709831,0.00014347583055496216,"Abstract-only zero-shot classification. Top-3 labels by score: 29 Computation - Magnetic Droplets, Spin of droplet (0.035), 28 Computation - Stability and other (0.034), 22 Computation - CFD (0.034)"
